ticker,empresa,nodo,tramo,peso_obj,fecha,moneda,precio_local,precio_usd,cantidad,costo_usd,peso_real,nota
ASML.AS,ASML,S5,1 Infaltable,6.0,2026-09-14,EUR,1387.8,1201.66,5,6008.31,6.01,
2330.TW,TSMC,P5,1 Infaltable,6.0,2026-09-14,TWD,2380.0,74.93,80,5994.58,5.99,
267260.KS,HD Hyundai Electric,C8,1 Infaltable,6.0,2026-09-14,KRW,739000.0,548.39,11,6032.32,6.03,
CDNS.OQ,Cadence,K1,1 Infaltable,6.0,2026-09-14,USD,279.06,279.06,22,6139.32,6.14,
PRY.MI,Prysmian,C9,1 Infaltable,6.0,2026-09-14,EUR,118.25,102.39,59,6041.0,6.04,
VRT.N,Vertiv,S2,2 Convicción alta,4.3,2026-09-14,USD,237.39,237.39,18,4273.02,4.27,
CEG.OQ,Constellation Energy,K3,2 Convicción alta,4.3,2026-09-14,USD,264.57,264.57,16,4233.12,4.23,
000660.KS,SK hynix,C4,2 Convicción alta,4.3,2026-09-14,KRW,1697000.0,1259.3,3,3777.9,3.78,
PWR.N,Quanta Services,K2,2 Convicción alta,4.3,2026-09-14,USD,622.02,622.02,7,4354.14,4.35,
CCJ.N,Cameco,M11/P2,2 Convicción alta,4.3,2026-09-14,USD,93.26,93.26,46,4289.96,4.29,
MTRS.ST,Munters,S2,2 Convicción alta,4.3,2026-09-14,SEK,140.35,14.38,299,4300.16,4.3,
ETN.N,Eaton,C8/S1,2 Convicción alta,4.3,2026-09-14,USD,393.16,393.16,11,4324.76,4.32,
ASMI.AS,ASM International,S5,3 Diversificador,2.7,2026-09-14,EUR,759.2,657.37,4,2629.49,2.63,
HWM.N,Howmet,P4/C7,3 Diversificador,2.7,2026-09-14,USD,227.13,227.13,12,2725.56,2.73,
BKR.OQ,Baker Hughes,S3,3 Diversificador,2.7,2026-09-14,USD,56.78,56.78,48,2725.44,2.73,
ATI.N,ATI Inc,M8/M9/P3,3 Diversificador,2.7,2026-09-14,USD,188.15,188.15,14,2634.1,2.63,
IFXGn.DE,Infineon,C2/S1,3 Diversificador,2.7,2026-09-14,EUR,54.04,46.79,58,2713.93,2.71,
NKT.CO,NKT,C9,3 Diversificador,2.7,2026-09-14,DKK,880.0,135.95,20,2718.99,2.72,
MTSI.OQ,MACOM,C3,3 Diversificador,2.7,2026-09-14,USD,239.62,239.62,11,2635.82,2.64,
COHR.N,Coherent,C10,3 Diversificador,2.7,2026-09-14,USD,266.5,266.5,10,2665.0,2.67,
GFS.OQ,GlobalFoundries,P5,3 Diversificador,2.7,2026-09-14,USD,43.54,43.54,62,2699.48,2.7,
FCX.N,Freeport-McMoRan,M3 mina,3 Diversificador,2.7,2026-09-14,USD,69.34,69.34,39,2704.26,2.7,
3750.HK,CATL,C5,3 Diversificador,2.7,2026-09-14,HKD,549.0,69.99,39,2729.69,2.73,
SMH.OQ,VanEck Semiconductor ETF,varios,4 ETF,4.0,2026-09-14,USD,541.5,541.5,7,3790.5,3.79,
NUCL.L,VanEck Uranio y Nuclear UCITS,M11/P2/K3,4 ETF,3.0,2026-09-14,USD,51.09,51.09,59,3014.31,3.01,
DFNS.L,VanEck Defense UCITS,defensa,4 ETF,2.2,2026-09-14,USD,59.67,59.67,37,2207.79,2.21,
QNTM.L,VanEck Quantum UCITS,cuántica,4 ETF,1.0,2026-09-14,USD,28.86,28.86,35,1010.1,1.01,
