ticker,pl_excl_fx,pl_fx,pl_total,chg_1d_pct,pl_1d,pl_pct,total_return_pct,fecha_snapshot
ASML,666.36,-128.39,537.97,-0.83,-71.68,6.71,6.71,2026-09-24
PRY,279.36,-123.31,156.05,-3.85,-328.93,1.94,1.94,2026-09-24
CDNS,944.68,0.0,944.68,4.18,284.02,15.39,15.39,2026-09-24
2330,238.92,-8.01,230.91,-1.0,-62.79,3.86,4.15,2026-09-24
ETN,515.24,0.0,515.24,0.28,13.64,11.91,11.91,2026-09-24
PWR,150.36,0.0,150.36,1.35,60.2,3.45,3.45,2026-09-24
VRT,142.38,0.0,142.38,-1.4,-62.64,3.33,3.33,2026-09-24
SMH,413.14,0.0,413.14,-0.15,-6.23,10.9,10.9,2026-09-24
CEG,-47.2,0.0,-47.2,-0.86,-36.16,-1.12,-1.12,2026-09-24
A000660,367.22,-57.93,309.29,1.2,48.28,8.19,8.19,2026-09-24
CCJ,-236.44,0.0,-236.44,-2.95,-123.28,-5.51,-5.51,2026-09-24
MTRS,-258.85,-65.32,-324.17,-3.05,-125.07,-7.54,-7.54,2026-09-24
ASM,341.84,-56.93,284.91,-2.14,-82.83,8.12,8.12,2026-09-24
IFX,148.7,-55.74,92.96,-3.94,-152.44,2.57,2.57,2026-09-24
MTSI,498.52,0.0,498.52,3.3,100.1,18.91,18.91,2026-09-24
NLR,-94.25,0.0,-94.25,-1.95,-61.19,-2.97,-2.97,2026-09-24
GFS,217.62,0.0,217.62,1.36,39.06,8.06,8.06,2026-09-24
COHR,241.1,0.0,241.1,-3.32,-99.9,9.05,9.05,2026-09-24
FCX,106.86,0.0,106.86,-0.69,-19.5,3.95,3.95,2026-09-24
NKT,91.13,-41.39,49.74,-2.78,-79.14,1.83,1.83,2026-09-24
HWM,27.0,0.0,27.0,0.26,7.2,0.99,0.99,2026-09-24
BKR,24.48,0.0,24.48,-1.28,-35.52,0.9,0.9,2026-09-24
ATI,-27.16,0.0,-27.16,1.1,28.42,-1.03,-1.03,2026-09-24
3750,-279.44,0.38,-279.05,-3.66,-93.0,-10.22,-10.22,2026-09-24
DFEN,17.95,-32.92,-14.98,-1.51,-33.68,-0.68,-0.68,2026-09-24
A267250,-334.58,-23.44,-358.02,-0.72,-12.07,-17.8,-17.8,2026-09-24
QUTMF,34.97,0.0,34.97,3.5,35.3,3.46,3.46,2026-09-24
NEO,62.19,-12.72,49.47,-1.97,-15.17,7.01,7.01,2026-09-24
